cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionType,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1594805,2023-10-02,KVYO,Shopify Strategic Holdings 3 LLC,,0001209191-23-051089,derivative,2023-09-28,X,3935793,0.0,5510113,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,3935793,0.01,2032-07-28
1594805,2023-10-02,KVYO,Shopify Strategic Holdings 3 LLC,,0001209191-23-051089,derivative,2023-09-28,X,3935793,0.01,13184907,D,Series B Common Stock,Series A Common Stock,3935793,,
1594805,2023-11-02,KVYO,Shopify Strategic Holdings 3 LLC,,0001209191-23-054165,derivative,2023-10-31,X,344382,0.0,5165731,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344382,0.01,2032-07-28
1594805,2023-11-02,KVYO,Shopify Strategic Holdings 3 LLC,,0001209191-23-054165,derivative,2023-10-31,X,344382,0.01,13529289,D,Series B Common Stock,Series A Common Stock,344382,,
1594805,2024-01-30,KVYO,Shopify Strategic Holdings 3 LLC,,0001209191-24-002414,derivative,2024-01-29,X,344382,0.0,4821350,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344382,0.01,2032-07-28
1594805,2024-01-30,KVYO,Shopify Strategic Holdings 3 LLC,,0001209191-24-002414,derivative,2024-01-29,X,344382,0.01,13873670,D,Series B Common Stock,Series A Common Stock,344382,,
1594805,2024-04-30,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950172-24-000237,derivative,2024-04-29,X,344381,0.0,4476969,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344381,0.01,2032-07-28
1594805,2024-04-30,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950172-24-000237,derivative,2024-04-29,X,344381,0.01,14218051,D,Series B Common Stock,Series A Common Stock,344381,,
1594805,2024-07-30,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-24-087969,derivative,2024-07-29,X,344384,0.0,4132585,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344384,0.01,2032-07-28
1594805,2024-07-30,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-24-087969,derivative,2024-07-29,X,344384,0.01,14562435,D,Series B Common Stock,Series A Common Stock,344384,,
1594805,2024-10-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-24-118371,derivative,2024-10-28,X,344381,0.01,14906816,D,Series B Common Stock,Series A Common Stock,344381,,
1594805,2024-10-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-24-118371,derivative,2024-10-28,X,344381,0.0,3788204,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344381,0.01,2032-07-28
1594805,2025-02-21,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-25-024964,derivative,2025-02-21,X,344382,0.0,3443822,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344382,0.01,2032-07-28
1594805,2025-02-21,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-25-024964,derivative,2025-02-21,X,344382,0.01,15251198,D,Series B Common Stock,Series A Common Stock,344382,,
1594805,2025-04-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-25-060311,derivative,2025-04-28,X,344382,0.0,3099440,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344382,0.01,2032-07-28
1594805,2025-04-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-25-060311,derivative,2025-04-28,X,344382,0.01,15595580,D,Series B Common Stock,Series A Common Stock,344382,,
1594805,2025-07-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-25-099676,derivative,2025-07-28,X,344383,0.0,2755057,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344383,0.01,2032-07-28
1594805,2025-07-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0000950170-25-099676,derivative,2025-07-28,X,344383,0.01,15939963,D,Series B Common Stock,Series A Common Stock,344383,,
1594805,2025-11-14,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0001193125-25-283256,derivative,2025-11-14,X,344381,0.0,2410676,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344381,0.01,2032-07-28
1594805,2025-11-14,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0001193125-25-283256,derivative,2025-11-14,X,344381,0.01,16284344,D,Series B Common Stock,Series A Common Stock,344381,,
1594805,2026-01-30,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0001193125-26-031887,derivative,2026-01-29,X,344383,0.0,2066293,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344383,0.01,2032-07-28
1594805,2026-01-30,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0001193125-26-031887,derivative,2026-01-29,X,344383,0.01,16628727,D,Series B Common Stock,Series A Common Stock,344383,,
1594805,2026-04-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0001193125-26-191903,derivative,2026-04-28,X,344381,0.0,1721912,D,Warrants to Purchase Series B Common Stock (Right to Buy),Series B Common Stock,344381,0.01,2032-07-28
1594805,2026-04-29,KVYO,Shopify Strategic Holdings 3 LLC,isTenPercentOwner,0001193125-26-191903,derivative,2026-04-28,X,344381,0.01,16973108,D,Series B Common Stock,Series A Common Stock,344381,,
