cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership
0001012100,2016-01-20,SEE,Peribere Jerome A,,0001127602-16-037369,2016-01-20,A,75000,,365314,D
0001012100,2016-02-17,SEE,Stiehl William G.,,0001127602-16-041871,2016-02-16,A,28466,,38362,D
0001012100,2016-02-17,SEE,Stiehl William G.,,0001127602-16-041871,2016-02-16,F,12494,43.43,25868,D
0001012100,2016-02-17,SEE,Peribere Jerome A,,0001127602-16-041773,2016-02-16,A,360198,,725512,D
0001012100,2016-02-17,SEE,Peribere Jerome A,,0001127602-16-041773,2016-02-16,F,168807,43.43,556705,D
0001012100,2016-02-17,SEE,Roper Ruth,,0001127602-16-041739,2016-02-16,A,33370,,164995,D
0001012100,2016-02-17,SEE,Roper Ruth,,0001127602-16-041739,2016-02-16,F,12666,43.43,152329,D
0001012100,2016-02-17,SEE,Chammas Emile Z.,,0001127602-16-041722,2016-02-16,A,60294,,144614,D
0001012100,2016-02-17,SEE,Chammas Emile Z.,,0001127602-16-041722,2016-02-16,F,25511,43.43,119103,D
0001012100,2016-02-18,SEE,Kadri Ilham,,0001127602-16-042079,2016-02-16,A,69438,,69438,D
0001012100,2016-02-18,SEE,Kadri Ilham,,0001127602-16-042079,2016-02-16,F,29885,43.43,39553,D
0001012100,2016-02-18,SEE,Lowe Carol P,,0001127602-16-042065,2016-02-16,A,85932,,116094,D
0001012100,2016-02-18,SEE,Lowe Carol P,,0001127602-16-042065,2016-02-16,F,37749,43.43,78345,D
0001012100,2016-02-18,SEE,Deily Karl R,,0001127602-16-042042,2016-02-16,A,60812,,212295,D
0001012100,2016-02-18,SEE,Deily Karl R,,0001127602-16-042042,2016-02-16,F,26458,43.43,185837,D
0001012100,2016-02-23,SEE,Roper Ruth,,0001127602-16-042884,2016-02-22,S,18000,44.08,134329,D
0001012100,2016-03-15,SEE,Roper Ruth,,0001127602-16-046355,2016-03-14,F,4910,46.54,129419,D
0001012100,2016-03-15,SEE,Roper Ruth,,0001127602-16-046355,2016-03-14,A,2974,,132393,D
0001012100,2016-03-15,SEE,Deily Karl R,,0001127602-16-046326,2016-03-14,F,4062,46.54,181775,D
0001012100,2016-03-15,SEE,Deily Karl R,,0001127602-16-046326,2016-03-14,A,3429,,185204,D
0001012100,2016-03-15,SEE,Lowe Carol P,,0001127602-16-046321,2016-03-14,A,4086,,82431,D
0001012100,2016-03-15,SEE,Chammas Emile Z.,,0001127602-16-046312,2016-03-14,F,14545,46.54,104558,D
0001012100,2016-03-15,SEE,Finch Norman D. Jr.,,0001127602-16-046300,2016-03-14,A,9840,,43199,D
0001012100,2016-03-16,SEE,Peribere Jerome A,,0001127602-16-046427,2016-03-07,G,108660,0,448045,D
0001012100,2016-03-16,SEE,Peribere Jerome A,,0001127602-16-046427,2016-03-14,F,29975,46.54,418070,D
0001012100,2016-03-16,SEE,Peribere Jerome A,,0001127602-16-046427,2016-03-14,A,57451,,475521,D
0001012100,2016-03-16,SEE,Chrisman Kenneth P.,,0001127602-16-046424,2016-03-14,A,1837,,13097,D
0001012100,2016-05-20,SEE,KOSECOFF JACQUELINE B,,0001127602-16-052903,2016-05-19,A,2463,,2463,D
0001012100,2016-05-23,SEE,WAMBOLD RICHARD L,,0001127602-16-053057,2016-05-19,A,2463,,20774,D
0001012100,2016-05-23,SEE,Lustig Neil,,0001127602-16-053036,2016-05-19,A,2463,,6489,D
0001012100,2016-05-23,SEE,MANNING KENNETH P,,0001127602-16-053034,2016-05-19,A,2463,,132537,D
0001012100,2016-05-23,SEE,MARINO WILLIAM J,,0001127602-16-053032,2016-05-19,A,7025,,53469,D
0001012100,2016-06-03,SEE,Roper Ruth,,0001127602-16-054610,2016-05-23,G,2000,0,130393,D
0001012100,2016-07-12,SEE,Finch Norman D. Jr.,,0001127602-16-057896,2016-07-11,F,8896,47.46,34303,D
0001012100,2016-08-10,SEE,CODEY LAWRENCE R,,0001127602-16-059963,2016-08-09,S,200,46.50,41980,D
0001012100,2016-08-29,SEE,Chrisman Kenneth P.,,0001127602-16-061321,2016-08-27,F,506,46.85,12591,D
0001012100,2016-10-07,SEE,Peribere Jerome A,,0001127602-16-064487,2016-10-06,A,250000,,725521,D
0001012100,2016-10-07,SEE,Peribere Jerome A,,0001127602-16-064487,2016-10-06,F,155348,45.22,570173,D
0001012100,2016-10-31,SEE,MARINO WILLIAM J,,0001127602-16-065501,2016-10-28,A,1145,,54614,D
0001012100,2016-12-15,SEE,CODEY LAWRENCE R,,0001127602-16-070099,2016-12-08,G,300,0,41680,D
