timestamp,symbol,company,subject,details,date,attachment,hash
2025-12-22T22:00:40.467466,HCLTECH,,,Acquisition,,HCL Technologies Limited has informed the Exchange about Acquisition,42abe56c110bfbc226b6c8664eaa53886f5da3fa45b82ee5d2d1f614beadebc1
2025-12-22T22:00:40.467466,PAYTM,,,Sale or disposal,,One 97 Communications Limited has informed the Exchange about Change in Status - From Wholly Owned Step Down Subsidiary to Step Down Subsidiary of the Company,072d44a4b62ad2205d6f4bc61ca1a6cdd8299c65386542bc7e8278a47c7ff628
2025-12-22T22:00:40.467466,SMARTLINK,,,Disclosure under SEBI Takeover Regulations,,"Arati Naik has submitted to  the Exchange a copy of Withdrawal of Intention to acquire Equity shares under Regulation 10(1)(a) of SEBI (SAST) Regulations, 2011.",02f3631a2ddec29cd0f29f73f1a3d890359f77b161599bc879d8aeca5c449598
2025-12-22T22:00:40.467466,TAJGVK,,,Disclosure under SEBI Takeover Regulations,,"Taj GVK Hotels & Resorts Limited has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",73ce89ba8ca6f22a42b691b6c45ff9d0dac9c5be104a9ed0091a4dc0b57b471f
2025-12-22T22:00:40.467466,BIRLANU,,,Disclosure under SEBI Takeover Regulations,,"Chandrakant Birla has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",d2bd8d3df2347a4628a78ee3a84968c73fe06598cbb0d1e59615bf3b262092a8
2025-12-22T22:00:40.467466,BERGEPAINT,,,Disclosure under SEBI Takeover Regulations,,"U K Paints (India) Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",2e71ac8573499015de843b0253e698c63eb14569fd6e6b238df827e57ee3add6
2025-12-22T22:00:40.467466,BIL,,,Disclosure under SEBI Takeover Regulations,,"Snehdeep Aggarwal has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011.",f385d1e73f3b308ca32b34c29bf88fbd8a20d08e0c960827c766b41aeedf09da
2025-12-22T22:00:40.467466,ONEPOINT,,,Acquisition,,One Point One Solutions Limited has informed the Exchange about Acquisition,b3a85df31ad20dc6723d3bf21764343d983f54d12bc0fa8966d10c9a8b3b448f
2025-12-22T22:00:40.467466,GMRAIRPORT,,,Acquisition,,"GMR AIRPORTS LIMITED has informed the Exchange about Intimation under Regulations 30 & 51 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations )  Acquisition of equity stake in Delhi Duty Free Services Private Limited ( DDFS )",e165c0b41bac49a127702b5b161fe89a2676c1355da820d72c2cf45719879e50
2025-12-22T22:00:40.467466,THELEELA,,,Acquisition,,Incorporation of Wholly Owned Subsidiary of the Company,79cf683dd81e8afdae981398ea23f99245d1ddc9f0aafe5c22d2fb678e66f344
2025-12-22T22:00:40.467466,INDUSTOWER,,,Acquisition,,Indus Towers Limited has informed the Exchange regarding Incorporation of a Step-down Wholly Owned Subsidiary in United Arab Emirates,0f8bb5c65ea6bc9013197d5fea8c991129c474b875e5b8b728a7b604e0c12267
2025-12-22T22:00:40.467466,JMFINANCIL,,,Disclosure under SEBI Takeover Regulations,," SNK Investments Private Limited  has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",46e7385092eef019a3137911c89fa373c047a883677bba558b537014589aaf58
2025-12-22T22:00:40.467466,TATACAP,,,Disclosure under SEBI Takeover Regulations,,"Tata Motors Ltd has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011.",d2766fa98e1ed2e09d9aaa96e1473dd4d40c078d7a53ed58be5129f665abd07a
2025-12-22T22:00:40.467466,INDHOTEL,,,Sale or disposal,,The Indian Hotels Company Limited has informed the Exchange about Sale or disposal,08ec752c3d0aa944372e61502556bdde573d8b22999270fb2008a36251817d61
2025-12-22T22:00:40.467466,CHEMBOND,,,Disclosure under SEBI Takeover Regulations,,"Sameer Vinod Shah has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",8a9e87c9f5b2cfedee4119bacdebb3f6c9000077a4d85ef06ad7c26f1c7eef51
2025-12-22T22:00:40.467466,TATASTEEL,,,Acquisition,,Tata Steel Limited has informed the Exchange about Acquisition of equity stake in T Steel Holdings Pte. Ltd,56e592f6c8761a902ca1b9cec1656ca861c7b081d05c97e2f43fe3de78e0221d
2025-12-22T22:00:40.467466,KIMS,,,Acquisition,,Krishna Institute of Medical Sciences Limited has informed the Exchange about the further Acquisition of shares in Sarvejana Healthcare Private Limited,1e77479e17fa4c206f5fa8d046d8e8c299b8b510489c762fe9313839ed248fe8
2025-12-22T22:00:40.467466,TATACHEM,,,Acquisition,,Tata Chemicals Limited has informed the Exchange about Acquisition,31109c90f7bc9dbeccd2d5f4983351d1473eb8fcdfb1492802ea8db1d7fa024c
2025-12-22T22:00:40.467466,DCMSHRIRAM,,,Sale or disposal,,DCM Shriram Limited has informed the Exchange about Sale or disposal,9ad952ab492d482d221354b9876ec10785a46f8e21a0fe88cb40a3c2f21c7f7a
2025-12-22T22:00:40.479595,ITC,,,Sale or disposal,,"ITC Limited has informed the Exchange about Voluntary Liquidation of Prag Agro Farm Limited, a wholly owned subsidiary",9b9e0c5558237034d8b9ff2f0af22359a07d052cb54fc608110b10150ceda3e3
2025-12-22T22:00:40.479595,SANDUMA,,,Disclosure under SEBI Takeover Regulations,,"Lohagiri Industrials Private Limited has submitted to the Exchange a copy of Revised Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011.",949b5938464110c7ca69ff0b2a3f2dbaa4b4af740d1ecea9cc1c2c38b3d0d398
2025-12-22T22:00:40.479595,INDUSTOWER,,,Acquisition,,Indus Towers Limited has informed the Exchange regarding incorporation of step down wholly owned subsidiaries in United Arab Emirates,0f8bb5c65ea6bc9013197d5fea8c991129c474b875e5b8b728a7b604e0c12267
2025-12-22T22:00:40.479595,HCLTECH,,,Acquisition,,HCL Technologies Limited has informed the Exchange about Acquisition,42abe56c110bfbc226b6c8664eaa53886f5da3fa45b82ee5d2d1f614beadebc1
2025-12-22T22:00:40.479595,CHEMBONDCH,,,Disclosure under SEBI Takeover Regulations,,"Nirmal Vinod Shah has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",500554df12b2984f633883d817ca407f1004443909d6546f32f8b94b20bf3350
2025-12-22T22:00:40.479595,OMAXE,,,Sale or disposal,,Omaxe Limited has informed the Exchange about Sale of its entire 40% Equity Shareholding in M/s Aquarise Developers Private Limited to M/s Dinkar Realcon Private Limited (step down wholly owned subsidiary of Omaxe Limited).,fa024a823a5e169f0ae54671e1c566be493e839ef81955dfa996881b9d99c572
2025-12-22T22:00:40.479595,PWL,,,Acquisition,,Physicswallah Limited has informed the Exchange about Acquisition,3d0221324a243c5deadd92355dd9a0b957ede9eb9d956f03ca26b0cf71f6c02e
2025-12-22T22:00:40.479595,GRPLTD,,,Acquisition,,GRP Limited has informed the Exchange about Acquisition,5a0af3ad164635de9421134b6378a79a62a728a5c1d57d0f12eb40678ee6b178
2025-12-22T22:00:40.479595,SIEMENS,,,Disclosure under SEBI Takeover Regulations,,"Siemens International Holding B.V. has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011.",e4730e35cca4bde27c8dba2989d414421522272658eba4c0242a992d50a63209
2025-12-22T22:00:40.479595,INDOCO,,,Disclosure under SEBI Takeover Regulations,,"Aditi Milind Panandikar has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",2c34ad562d0a46e70e6640d23ef6d05fa5d7e67ca9df14f08b4a1bb5c860222d
2025-12-22T22:00:40.479595,MAXHEALTH,,,Acquisition,,Max Healthcare Institute Limited has informed the Exchange about Share Purchase Agreement to acquire equity stake in Yerawada Properties Private Limited and matters relating to setting up a approx. 450 bedded super speciality hospital in Pune,3243e8c050edbdc62a3cfc82dbfed25af1254484dd5962032b606f0d5d4b7ce2
2025-12-22T22:00:40.479595,SHRIRAMFIN,,,Rumour Verification - Regulation 30(11),,Shriram Finance Limited has informed the Exchange about Rumour Verification - Regulation 30(11),4050c521905689d2dec8d4a0fbb9a1b75da61c843b701f6edcfad8507ffe5453
2025-12-22T22:00:40.479595,ISGEC,,,Acquisition,,Isgec Heavy Engineering Limited has informed the Exchange about Update on Completion of Acquisition of 26% Equity of FPEL HR1 Energy Private Limited,61ea943aa7442137833b8e0d84e74772e08eafa4a691ea7c4d0a33d9f19390ba
2025-12-22T22:00:40.479595,CYIENT,,,Acquisition,,Cyient Limited has informed the Exchange about Acquisition,abf1f6f56eff9154fea25648a5ad77154ae873d3bfbe7af293726c3064d0e13b
2025-12-22T22:00:40.479595,SANDUMA,,,Disclosure under SEBI Takeover Regulations,," Lohagiri Industrials Private Limited has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011",949b5938464110c7ca69ff0b2a3f2dbaa4b4af740d1ecea9cc1c2c38b3d0d398
