trade_date,fii_net,dii_net,total_net,fii_roll5,dii_roll5,total_roll5,fii_roll20,dii_roll20,total_roll20,regime,flow_signal
2026-02-20,-934.61,2637.15,1702.54,-934.61,2637.15,1702.54,-934.61,2637.15,1702.54,fii_sell_dii_buy,conflict_flow
2026-02-24,-102.53,3161.22,3058.6899999999996,-1037.14,5798.37,4761.23,-1037.14,5798.37,4761.23,fii_sell_dii_buy,conflict_flow
2026-02-25,2991.64,5118.57,8110.209999999999,1954.4999999999998,10916.939999999999,12871.439999999999,1954.4999999999998,10916.939999999999,12871.439999999999,both_buying,bullish_flow
2026-02-26,-3465.99,5031.57,1565.58,-1511.49,15948.509999999998,14437.019999999999,-1511.49,15948.509999999998,14437.019999999999,fii_sell_dii_buy,conflict_flow
2026-02-27,-7536.36,12292.81,4756.45,-9047.85,28241.32,19193.469999999998,-9047.85,28241.32,19193.469999999998,fii_sell_dii_buy,conflict_flow
2026-03-02,-3295.64,8593.87,5298.230000000001,-11408.88,34198.04,22789.16,-12343.49,36835.19,24491.7,fii_sell_dii_buy,conflict_flow
2026-03-04,-8752.65,12068.17,3315.5200000000004,-20059.0,43104.990000000005,23045.99,-21096.14,48903.36,27807.22,fii_sell_dii_buy,conflict_flow
2026-03-05,-3752.52,5153.37,1400.85,-26803.159999999996,43139.79,16336.630000000001,-24848.66,54056.73,29208.07,fii_sell_dii_buy,conflict_flow
2026-03-06,-6030.38,6971.51,941.1300000000001,-29367.55,45079.73,15712.180000000002,-30879.04,61028.24,30149.2,fii_sell_dii_buy,conflict_flow
2026-03-09,-6345.57,9013.8,2668.2299999999996,-28176.76,41800.72,13623.960000000003,-37224.61,70042.04000000001,32817.43,fii_sell_dii_buy,conflict_flow
2026-03-10,-4672.64,6333.26,1660.62,-29553.76,39540.11,9986.349999999999,-41897.25,76375.3,34478.05,fii_sell_dii_buy,conflict_flow
2026-03-11,-6267.31,4965.53,-1301.7800000000007,-27068.420000000002,32437.47,5369.049999999999,-48164.56,81340.83,33176.27,fii_sell_dii_buy,conflict_flow
2026-03-12,-7049.87,7449.77,399.90000000000055,-30365.77,34733.87,4368.099999999999,-55214.43,88790.6,33576.17,fii_sell_dii_buy,conflict_flow
2026-03-13,-10716.64,9977.42,-739.2199999999993,-35052.03,37739.78,2687.75,-65931.07,98768.02,32836.95,fii_sell_dii_buy,conflict_flow
2026-03-16,-9365.52,12593.36,3227.84,-38071.979999999996,41319.34,3247.3600000000006,-75296.59,111361.38,36064.79,fii_sell_dii_buy,conflict_flow
2026-03-17,-4741.22,5225.32,484.09999999999945,-38140.56,40211.399999999994,2070.84,-80037.81,116586.7,36548.89,fii_sell_dii_buy,conflict_flow
2026-03-18,-2714.35,3253.03,538.6800000000003,-34587.6,38498.9,3911.300000000001,-82752.16,119839.73,37087.57,fii_sell_dii_buy,conflict_flow
2026-03-19,-7558.19,3863.96,-3694.2299999999996,-35095.92,34913.09,-182.82999999999902,-90310.35,123703.69,33393.340000000004,fii_sell_dii_buy,conflict_flow
2026-03-20,-5518.39,5706.23,187.83999999999924,-29897.670000000002,30641.9,744.2299999999996,-95828.74,129409.92,33581.18,fii_sell_dii_buy,conflict_flow
2026-03-23,-10414.23,12033.97,1619.7399999999998,-30946.38,30082.51,-863.8700000000008,-106242.97,141443.89,35200.92,fii_sell_dii_buy,conflict_flow
2026-03-24,-8009.56,5867.15,-2142.4100000000008,-34214.72,30724.339999999997,-3490.380000000001,-113317.92,144673.89,31355.969999999998,fii_sell_dii_buy,conflict_flow
2026-03-25,-1805.37,5429.78,3624.41,-33305.740000000005,32901.09,-404.65000000000146,-115020.76000000001,146942.45,31921.69,fii_sell_dii_buy,conflict_flow
2026-03-27,-4367.3,3566.15,-801.1500000000001,-30114.85,32603.279999999995,2488.429999999998,-122379.7,145390.03,23010.33,fii_sell_dii_buy,conflict_flow
2026-03-30,-11163.06,14894.72,3731.66,-35759.520000000004,41791.77,6032.249999999998,-130076.76999999999,155253.18,25176.409999999996,fii_sell_dii_buy,conflict_flow
2026-04-01,-8331.15,7171.8,-1159.3499999999995,-33676.44,36929.6,3253.1599999999994,-130871.56,150132.16999999998,19260.61,fii_sell_dii_buy,conflict_flow
2026-04-02,-9931.13,7208.41,-2722.7199999999993,-35598.009999999995,38270.86,2672.8500000000004,-137507.05,148746.71,11239.66,fii_sell_dii_buy,conflict_flow
2026-04-06,-8167.17,8088.7,-78.47000000000025,-41959.810000000005,40929.78,-1030.0299999999993,-136921.57,144767.24,7845.669999999999,fii_sell_dii_buy,conflict_flow
2026-04-07,-8692.11,7979.5,-712.6100000000006,-46284.62,45343.13,-941.4899999999998,-141861.16,147593.37,5732.209999999999,fii_sell_dii_buy,conflict_flow
2026-04-08,-2811.97,4168.17,1356.2000000000003,-37933.53,34616.58,-3316.9499999999994,-138642.75,144790.03,6147.279999999999,fii_sell_dii_buy,conflict_flow
2026-04-09,-1711.19,955.9,-755.2900000000001,-31313.57,28400.68,-2912.89,-134008.37,136732.13,2723.7599999999993,fii_sell_dii_buy,conflict_flow
2026-04-10,672.09,410.05,1082.14,-20710.350000000002,21602.32,891.9699999999993,-128663.64,130808.92,2145.2799999999993,both_buying,bullish_flow
2026-04-13,-1983.18,2432.3,449.1200000000001,-14526.36,15945.92,1419.5599999999997,-124379.51000000001,128275.69,3896.1800000000003,fii_sell_dii_buy,conflict_flow
2026-04-15,666.15,-568.98,97.16999999999996,-5168.1,7397.4400000000005,2229.34,-116663.49,120256.93999999999,3593.4499999999994,fii_buy_dii_sell,conflict_flow
2026-04-16,382.36,-3427.75,-3045.39,-1973.7700000000002,-198.48000000000002,-2172.25,-105564.49,106851.76999999999,1287.2799999999984,fii_buy_dii_sell,conflict_flow
2026-04-17,683.2,-4721.48,-4038.2799999999997,420.6199999999999,-5875.86,-5455.24,-95515.77,89536.93,-5978.840000000001,fii_buy_dii_sell,conflict_flow
2026-04-20,-1059.93,2966.89,1906.9599999999998,-1311.4,-3319.02,-4630.419999999999,-91834.48000000001,87278.5,-4555.9800000000005,fii_sell_dii_buy,conflict_flow
2026-04-21,-1918.99,2221.27,302.28,-1247.2100000000003,-3530.0499999999997,-4777.26,-91039.12,86246.74,-4792.380000000001,fii_sell_dii_buy,conflict_flow
2026-04-22,-2078.36,-1048.17,-3126.53,-3991.7200000000003,-4009.24,-8000.96,-85559.29,81334.61,-4224.680000000002,both_selling,bearish_flow
2026-04-23,-3254.71,941.35,-2313.36,-7628.79,359.86000000000024,-7268.93,-83295.61,76569.73,-6725.880000000001,fii_sell_dii_buy,conflict_flow
2026-04-24,-8827.87,4700.71,-4127.160000000001,-17139.86,9782.05,-7357.81,-81709.25,69236.47,-12472.780000000002,fii_sell_dii_buy,conflict_flow
2026-04-27,-1151.48,4123.92,2972.44,-17231.41,10939.080000000002,-6292.33,-74851.17,67493.24,-7357.930000000002,fii_sell_dii_buy,conflict_flow
2026-04-28,-2103.74,1712.01,-391.7299999999998,-17416.16,10429.82,-6986.34,-75149.54,63775.47,-11374.07,fii_sell_dii_buy,conflict_flow
2026-04-29,-2468.42,2262.17,-206.25,-17806.22,13740.16,-4066.0599999999995,-73250.66,62471.49,-10779.17,fii_sell_dii_buy,conflict_flow
2026-04-30,-8047.86,3487.1,-4560.76,-22599.370000000003,16285.91,-6313.459999999999,-70135.46,51063.87,-19071.59,fii_sell_dii_buy,conflict_flow
2026-05-04,2835.62,4764.16,7599.78,-10935.880000000001,16349.36,5413.480000000001,-58968.69,48656.23,-10312.460000000003,both_buying,bullish_flow
2026-05-05,-3621.58,2602.62,-1018.96,-13405.98,14828.059999999998,1422.0800000000013,-52659.14,44050.439999999995,-8608.700000000003,fii_sell_dii_buy,conflict_flow
2026-05-06,-5834.9,6836.87,1001.9700000000003,-17137.14,19952.92,2815.7800000000016,-50326.87,42798.61,-7528.260000000001,fii_sell_dii_buy,conflict_flow
2026-05-07,-340.89,441.07,100.18,-15009.61,18131.82,3122.2100000000014,-41975.65,35260.18,-6715.470000000001,fii_sell_dii_buy,conflict_flow
2026-05-08,-4110.6,6748.13,2637.5299999999997,-11072.35,21392.85,10320.5,-43274.28,37840.14,-5434.140000000001,fii_sell_dii_buy,conflict_flow
2026-05-11,-8437.56,5939.65,-2497.91,-22345.53,22568.34,222.8100000000013,-50000.65,42823.89,-7176.760000000002,fii_sell_dii_buy,conflict_flow
2026-05-12,-1959.39,7990.32,6030.929999999999,-20683.34,27956.04,7272.700000000001,-52632.130000000005,50404.159999999996,-2227.970000000001,fii_sell_dii_buy,conflict_flow
2026-05-13,-4703.15,5869.05,1165.9000000000005,-19551.59,26988.219999999998,7436.630000000001,-55352.100000000006,53840.91,-1511.1900000000014,fii_sell_dii_buy,conflict_flow
2026-05-14,187.46,684.33,871.7900000000001,-19023.24,27231.48,8208.240000000002,-55830.79000000001,55094.22,-736.570000000001,both_buying,bullish_flow
2026-05-15,1329.17,-1958.82,-629.6499999999999,-13583.47,18524.53,4941.060000000002,-54883.979999999996,56563.149999999994,1679.169999999999,fii_buy_dii_sell,conflict_flow
2026-05-18,2813.69,2682.12,5495.8099999999995,-2332.22,15267.0,12934.78,-52753.490000000005,63966.75,11213.259999999998,both_buying,bullish_flow
2026-05-19,-2457.49,3801.68,1344.19,-2830.3199999999997,11078.36,8248.040000000003,-54151.05,64801.54,10650.49,fii_sell_dii_buy,conflict_flow
2026-05-20,-1597.35,1968.35,371.0,275.48,7177.66,7453.140000000001,-53829.41,64548.619999999995,10719.21,fii_sell_dii_buy,conflict_flow
2026-05-21,-1891.21,2492.42,601.21,-1803.19,8985.75,7182.560000000001,-53642.26,68089.20999999999,14446.949999999999,fii_sell_dii_buy,conflict_flow
2026-05-22,-4440.47,6003.53,1563.0599999999995,-7572.83,16948.1,9375.27,-54828.020000000004,73151.39,18323.37,fii_sell_dii_buy,conflict_flow
2026-05-25,821.75,3856.88,4678.63,-9564.77,18122.86,8558.090000000002,-45178.4,72307.56,27129.159999999996,both_buying,bullish_flow
2026-05-26,-2407.87,1361.43,-1046.4399999999998,-9515.150000000001,15682.61,6167.460000000002,-46434.79,69545.06999999999,23110.28,fii_sell_dii_buy,conflict_flow
2026-05-27,-1042.7,3821.0,2778.3,-8960.500000000002,17535.260000000002,8574.760000000002,-45373.75,71654.06,26280.309999999998,fii_sell_dii_buy,conflict_flow
2026-05-29,-21105.86,16764.14,-4341.720000000001,-28175.15,31806.980000000003,3631.830000000001,-64011.19,86156.03,22144.839999999997,fii_sell_dii_buy,conflict_flow
2026-06-01,-3911.68,5109.13,1197.4500000000003,-27646.36,30912.580000000005,3266.220000000002,-59875.01,87778.06,27903.05,fii_sell_dii_buy,conflict_flow
2026-06-03,-5616.56,5740.89,124.32999999999993,-34084.67,32796.590000000004,-1288.079999999998,-68327.19,88754.79,20427.6,fii_sell_dii_buy,conflict_flow
2026-06-04,-4447.06,4360.14,-86.92000000000007,-36123.86,35795.3,-328.55999999999835,-69152.67,90512.31,21359.64,fii_sell_dii_buy,conflict_flow
2026-06-05,-8776.25,9133.57,357.3199999999997,-43857.41,41107.87,-2749.539999999999,-72094.02,92809.01000000001,20714.989999999998,fii_sell_dii_buy,conflict_flow
2026-06-08,-5555.67,5165.24,-390.4300000000003,-28307.22,29508.97,1201.7500000000018,-77308.8,97533.18,20224.379999999997,fii_sell_dii_buy,conflict_flow
2026-06-09,-4566.03,6159.48,1593.4499999999998,-28961.57,30559.32,1597.7500000000014,-77764.23,96944.53,19180.3,fii_sell_dii_buy,conflict_flow
2026-06-10,-2124.98,3123.95,998.9699999999998,-25469.99,27942.38,2472.3900000000012,-71451.65,94128.83,22677.18,fii_sell_dii_buy,conflict_flow
2026-06-11,-1987.09,4224.51,2237.42,-23010.02,27806.750000000004,4796.730000000001,-71479.34999999999,90363.01999999999,18883.67,fii_sell_dii_buy,conflict_flow
2026-06-12,-1082.18,5341.29,4259.11,-15315.95,24014.47,8698.52,-67858.38,89835.26000000001,21976.879999999997,fii_sell_dii_buy,conflict_flow
2026-06-16,-749.18,0.06,-749.12,-10509.46,18849.290000000005,8339.830000000002,-68795.01999999999,89150.99,20355.969999999998,fii_sell_dii_buy,conflict_flow
2026-06-17,101.59,1561.4,1662.99,-5841.84,14251.210000000003,8409.370000000003,-70022.59999999999,92671.20999999999,22648.609999999997,both_buying,bullish_flow
2026-06-18,-1025.2,3516.81,2491.6099999999997,-4742.0599999999995,14644.070000000003,9902.010000000002,-73861.48999999999,93505.9,19644.409999999996,fii_sell_dii_buy,conflict_flow
2026-06-19,4859.07,-1159.64,3699.4299999999994,2104.1000000000004,9259.920000000004,11364.02,-66544.93000000001,88544.57999999999,21999.649999999998,fii_buy_dii_sell,conflict_flow
2026-06-23,17.86,680.21,698.07,3204.1400000000003,4598.840000000004,7802.9800000000005,-64929.72,87256.44,22326.719999999998,both_buying,bullish_flow
2026-06-24,-1843.4,3637.26,1793.8600000000001,2109.92,8236.040000000005,10345.960000000001,-64881.91,88401.28,23519.37,fii_sell_dii_buy,conflict_flow
2026-06-25,383.76,5747.75,6131.51,2392.09,12422.390000000003,14814.480000000001,-60057.68,88145.5,28087.819999999996,both_buying,bullish_flow
2026-06-29,-1350.1,2801.45,1451.35,2067.1899999999996,11707.030000000004,13774.220000000003,-62229.53,87090.06999999999,24860.539999999997,fii_sell_dii_buy,conflict_flow
2026-06-30,-2556.75,6842.34,4285.59,-5348.63,19709.010000000002,14360.380000000003,-62378.409999999996,92570.98000000001,30192.57,fii_sell_dii_buy,conflict_flow
2026-07-01,-1140.5,3159.24,2018.7399999999998,-6506.99,22188.040000000005,15681.050000000003,-62476.21,91909.22,29433.009999999995,fii_sell_dii_buy,conflict_flow
2026-07-03,1355.33,-1953.89,-598.5600000000002,-3308.26,16596.890000000003,13288.630000000003,-40015.02,73191.18999999999,33176.17,fii_buy_dii_sell,conflict_flow
2026-07-06,243.03,3791.42,4034.4500000000003,-3448.99,14640.560000000001,11191.570000000003,-35860.31,71873.48,36013.17,both_buying,bullish_flow
2026-07-07,393.19,-383.43,9.759999999999991,-1705.7,11455.680000000004,9749.980000000001,-29850.56,65749.16,35898.6,fii_buy_dii_sell,conflict_flow
2026-07-08,1962.8,790.16,2752.96,2813.85,5403.500000000004,8217.350000000002,-23440.7,62179.17999999999,38738.479999999996,both_buying,bullish_flow
2026-07-09,-532.86,2057.79,1524.9299999999998,3421.49,4302.050000000003,7723.540000000003,-15197.31,55103.4,39906.09,fii_sell_dii_buy,conflict_flow
2026-07-10,2603.72,2019.68,4623.4,4669.879999999999,8275.620000000004,12945.500000000002,-7037.92,51957.84,44919.92,both_buying,bullish_flow
2026-07-13,-3062.27,2171.7,-890.5700000000002,1364.58,6655.900000000003,8020.480000000003,-5534.160000000001,47970.06,42435.9,fii_sell_dii_buy,conflict_flow
2026-07-14,-739.69,2927.71,2188.02,231.6999999999996,9967.040000000005,10198.740000000002,-4148.870000000001,47773.82,43624.95,fii_sell_dii_buy,conflict_flow
2026-07-15,-735.83,704.93,-30.90000000000009,-2466.9300000000003,9881.810000000003,7414.880000000001,-2897.6100000000006,44254.240000000005,41356.63,fii_sell_dii_buy,conflict_flow
2026-07-16,-4205.56,2986.41,-1219.1500000000005,-6139.630000000001,10810.430000000002,4670.800000000001,-6020.990000000002,41899.36,35878.369999999995,fii_sell_dii_buy,conflict_flow
2026-07-17,-376.41,1017.89,641.48,-9119.76,9808.640000000003,688.880000000001,-5648.22,42917.189999999995,37268.97,fii_sell_dii_buy,conflict_flow
2026-07-20,-1121.04,1312.03,190.99,-7178.53,8948.970000000003,1770.4400000000012,-6870.85,42667.82,35796.969999999994,fii_sell_dii_buy,conflict_flow
2026-07-21,1650.16,-656.88,993.2800000000001,-4788.68,5364.380000000004,575.7000000000013,-4195.490000000001,38494.13,34298.64,fii_buy_dii_sell,conflict_flow
2026-07-24,-3892.77,5453.55,1560.7800000000002,-7945.62,10113.000000000004,2167.3800000000015,-12947.330000000002,45107.32,32159.989999999998,fii_sell_dii_buy,conflict_flow
2026-07-28,755.33,1664.16,2419.4900000000002,-2984.7299999999996,8790.750000000004,5806.020000000002,-12209.86,46091.27,33881.409999999996,both_buying,bullish_flow
2026-07-29,2981.87,998.02,3979.89,373.5500000000002,8770.880000000005,9144.430000000002,-7384.59,43452.03,36067.44,both_buying,bullish_flow
2026-07-30,3623.51,-1864.03,1759.4800000000002,5118.1,5594.820000000003,10712.920000000004,-4144.84,35840.24999999999,31695.41,fii_buy_dii_sell,conflict_flow
2026-07-31,277.48,2260.37,2537.85,3745.4200000000005,8512.070000000003,12257.490000000002,-2517.26,35299.17,32781.909999999996,both_buying,bullish_flow
2026-08-03,922.26,1571.18,2493.44,8560.45,4629.7000000000035,13190.150000000001,961.7499999999998,30028.01,30989.760000000002,both_buying,bullish_flow
2026-08-04,2446.47,-936.14,1510.33,10251.59,2029.4000000000037,12280.990000000002,4548.719999999999,25932.63,30481.35,fii_buy_dii_sell,conflict_flow
2026-08-05,-943.42,2883.17,1939.75,6326.3,3914.550000000004,10240.850000000002,2249.97,30769.69,33019.66,fii_sell_dii_buy,conflict_flow
2026-08-06,-17.86,4013.6,3995.74,2684.93,9792.180000000004,12477.11,1989.0799999999997,30991.87,32980.95,fii_sell_dii_buy,conflict_flow
2026-08-07,480.24,235.56,715.8,2887.6899999999996,7767.3700000000035,10655.060000000003,2076.1299999999997,31610.859999999997,33686.99,both_buying,bullish_flow
2026-08-10,1974.76,-1290.29,684.47,3940.1899999999996,4905.900000000003,8846.090000000002,2088.0899999999997,29530.41,31618.5,fii_buy_dii_sell,conflict_flow
2026-08-11,258.55,24.77,283.32,1752.2699999999998,5866.810000000004,7619.080000000002,2879.5,27497.390000000003,30376.89,both_buying,bullish_flow
2026-08-12,-1002.5,5841.66,4839.16,1693.1899999999996,8825.300000000003,10518.490000000002,-726.72,31319.370000000003,30592.649999999998,fii_sell_dii_buy,conflict_flow
2026-08-13,-510.69,4353.09,3842.4,1200.3599999999997,9164.790000000005,10365.150000000001,1824.8600000000001,33500.76,35325.62,fii_sell_dii_buy,conflict_flow
2026-08-14,508.12,356.4,864.52,1228.2399999999998,9285.630000000005,10513.87,3072.6699999999996,30929.45,34002.119999999995,both_buying,bullish_flow
2026-08-18,1651.53,2579.31,4230.84,905.0099999999998,13155.230000000005,14060.240000000002,5460.03,32803.83,38263.86,both_buying,bullish_flow
2026-08-19,407.99,3973.72,4381.71,1054.4499999999998,17104.180000000004,18158.63,10073.58,33791.14,43864.72,both_buying,bullish_flow
2026-08-21,-542.71,2124.14,1581.4299999999998,1514.2399999999998,13386.660000000003,14900.900000000001,9907.28,34897.39,44804.670000000006,fii_sell_dii_buy,conflict_flow
2026-08-24,1181.66,2493.41,3675.0699999999997,3206.59,11526.980000000003,14733.570000000002,12209.980000000001,36078.770000000004,48288.75,both_buying,bullish_flow
2026-08-25,1593.53,230.26,1823.79,4292.0,11400.840000000002,15692.840000000002,12153.349999999999,36965.909999999996,49119.26,both_buying,bullish_flow
2026-08-26,502.63,6425.16,6927.79,3143.1,15246.690000000002,18389.79,16548.75,37937.520000000004,54486.270000000004,both_buying,bullish_flow
