symbol,kind,underlying,underlyingValue,timestamp,expiryDate,strikePrice,optionType,lastPrice,change,pChange,openInterest,changeInOI,totalTradedVolume,impliedVolatility,bidQty,bidPrice,askPrice,askQty,identifier
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,28-Dec-2027,18000,PE,116.05,19,19.577537351880476,154,0,0,0,300,31.1,0,0,OPTIDXNIFTY28-12-2027PE18000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Dec-2028,18000,PE,250,0,0,1,0,0,0,225,42.7,150,75,OPTIDXNIFTY26-12-2028PE18000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,19000,CE,7355,215,3.011204481792717,134.66666666666666,-10,30,54.62,75,7010,7330.2,750,OPTIDXNIFTY30-12-2025CE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,19000,PE,3.2,-1.6499999999999995,-34.020618556701024,4643,32.666666666666664,368,43.69,450,3.2,3.5,525,OPTIDXNIFTY30-12-2025PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,19000,PE,12.5,-1.25,-9.090909090909092,98,7,17,26.86,2475,12.5,14,75,OPTIDXNIFTY31-03-2026PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,19000,CE,5792,0,0,1.3333333333333333,0,0,0,0,0,0,0,OPTIDXNIFTY30-06-2026CE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,19000,PE,205.7,0,0,3.3333333333333335,0,0,0,300,20.4,0,0,OPTIDXNIFTY30-06-2026PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,19000,CE,8551,1035,13.770622671633848,2.6666666666666665,1,1,0,0,0,8595,75,OPTIDXNIFTY29-12-2026CE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,19000,PE,62.7,0,0,23,0,0,0,300,25.15,0,0,OPTIDXNIFTY29-12-2026PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Jun-2027,19000,PE,182.1,0,0,8,0,0,0,300,34.1,0,0,OPTIDXNIFTY29-06-2027PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,28-Dec-2027,19000,PE,140.05,0,0,9,0,0,0,300,44.4,0,0,OPTIDXNIFTY28-12-2027PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,27-Jun-2028,19000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY27-06-2028PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Dec-2028,19000,PE,0,0,0,0,0,0,0,225,62.3,0,0,OPTIDXNIFTY26-12-2028PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Jun-2029,19000,PE,0,0,0,0,0,0,0,225,68.6,0,0,OPTIDXNIFTY26-06-2029PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,24-Dec-2029,19000,PE,0,0,0,0,0,0,0,225,75.4,0,0,OPTIDXNIFTY24-12-2029PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,25-Jun-2030,19000,PE,0,0,0,0,0,0,0,150,80.95,0,0,OPTIDXNIFTY25-06-2030PE19000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,19500,CE,6660,0,0,14.333333333333334,0,0,0,75,6501.15,7358.4,75,OPTIDXNIFTY30-12-2025CE19500.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,20000,CE,6323,-44.80000000000018,-0.7035396840353054,4832.666666666667,-10.333333333333334,97,0,75,6286.05,6324.9,150,OPTIDXNIFTY30-12-2025CE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,20000,PE,3.8,0,0,9486.333333333334,66.66666666666667,742,38.12,2325,3.8,3.9,375,OPTIDXNIFTY30-12-2025PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,20000,PE,15.45,-0.10000000000000142,-0.6430868167202664,1287,-37,93,24.04,75,15.1,15.5,300,OPTIDXNIFTY31-03-2026PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,20000,PE,31.65,0.6499999999999986,2.0967741935483826,5043,29,64,21.61,75,30.6,31.6,75,OPTIDXNIFTY30-06-2026PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Sep-2026,20000,PE,0,0,0,0,0,0,0,5400,1.05,0,0,OPTIDXNIFTY29-09-2026PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,20000,CE,0,0,0,0,0,0,0,0,0,0,0,OPTIDXNIFTY29-12-2026CE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,20000,PE,88.1,1.0999999999999943,1.2643678160919474,509,2,8,21.4,75,83.25,88.15,225,OPTIDXNIFTY29-12-2026PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Jun-2027,20000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY29-06-2027PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,28-Dec-2027,20000,PE,251.9,0,0,52.666666666666664,0,0,0,300,68.8,270,75,OPTIDXNIFTY28-12-2027PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,27-Jun-2028,20000,PE,400,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY27-06-2028PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Dec-2028,20000,PE,330,0,0,14.666666666666666,0,0,0,225,103.25,0,0,OPTIDXNIFTY26-12-2028PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Jun-2029,20000,PE,0,0,0,0,0,0,0,150,113.75,0,0,OPTIDXNIFTY26-06-2029PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,24-Dec-2029,20000,PE,0,0,0,0,0,0,0,150,121.95,0,0,OPTIDXNIFTY24-12-2029PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,25-Jun-2030,20000,PE,0,0,0,0,0,0,0,150,127.5,0,0,OPTIDXNIFTY25-06-2030PE20000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,21000,CE,5319.65,-28.050000000000182,-0.5245245619612203,5188.333333333333,-7.333333333333333,28,0,75,5305,5320.9,75,OPTIDXNIFTY30-12-2025CE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,21000,PE,4.7,0.04999999999999982,1.0752688172042972,18348,-365.6666666666667,1432,32.79,1050,4.6,4.7,13425,OPTIDXNIFTY30-12-2025PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,21000,CE,5649.45,-62.400000000000546,-1.0924656634890717,1282,92,119,0,75,5644.2,5673.25,75,OPTIDXNIFTY31-03-2026CE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,21000,PE,18.2,-1.0500000000000007,-5.454545454545459,3135,116,438,21.09,750,18.05,18.9,600,OPTIDXNIFTY31-03-2026PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,21000,PE,42.05,-0.6500000000000057,-1.5222482435597322,5371,13,40,19.72,75,42.05,43.75,225,OPTIDXNIFTY30-06-2026PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Sep-2026,21000,PE,0,0,0,0,0,0,0,5400,1.05,0,0,OPTIDXNIFTY29-09-2026PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,21000,CE,6001,326,5.744493392070485,4,1,1,0,75,6100,0,0,OPTIDXNIFTY29-12-2026CE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,21000,PE,107.9,6.150000000000006,6.04422604422605,643,-1,4,19.87,75,100.25,104.8,75,OPTIDXNIFTY29-12-2026PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Jun-2027,21000,PE,115.05,0,0,13.666666666666666,0,0,0,225,91.45,0,0,OPTIDXNIFTY29-06-2027PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,28-Dec-2027,21000,PE,340,0,0,13.666666666666666,0,0,0,225,126.25,0,0,OPTIDXNIFTY28-12-2027PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,27-Jun-2028,21000,PE,0,0,0,0,0,0,0,150,151.55,0,0,OPTIDXNIFTY27-06-2028PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Dec-2028,21000,PE,618.05,0,0,16.666666666666668,0,0,0,150,169.85,0,0,OPTIDXNIFTY26-12-2028PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Jun-2029,21000,PE,0,0,0,0,0,0,0,75,180.6,0,0,OPTIDXNIFTY26-06-2029PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,24-Dec-2029,21000,PE,0,0,0,0,0,0,0,75,188.3,0,0,OPTIDXNIFTY24-12-2029PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,25-Jun-2030,21000,PE,0,0,0,0,0,0,0,75,192.45,0,0,OPTIDXNIFTY25-06-2030PE21000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22000,CE,4320.55,-64.75,-1.4765238410142978,5924.666666666667,-3,93,0,75,4312.9,4331.9,75,OPTIDXNIFTY30-12-2025CE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22000,PE,5.65,-0.04999999999999982,-0.8771929824561372,19598.666666666668,-25,2574,27.37,5250,5.65,5.7,75,OPTIDXNIFTY30-12-2025PE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,22000,CE,4715.5,-57.05000000000018,-1.1953777330777084,133,0,3,0,75,4690.15,4725,75,OPTIDXNIFTY31-03-2026CE22000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,22000,PE,27.3,-1.5,-5.208333333333333,5490,11,465,18.88,300,27.3,28.5,975,OPTIDXNIFTY31-03-2026PE22000.00
