symbol,kind,underlying,underlyingValue,timestamp,expiryDate,strikePrice,optionType,lastPrice,change,pChange,openInterest,changeInOI,totalTradedVolume,impliedVolatility,bidQty,bidPrice,askPrice,askQty,identifier
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,30-Jun-2026,12000,PE,20,0,0,4.333333333333333,0,0,0,750,1.55,0,0,OPTIDXNIFTY30-06-2026PE12000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,29-Dec-2026,12000,PE,20,-0.05000000000000071,-0.24937655860349484,7.666666666666667,0,0,0,750,2.05,0,0,OPTIDXNIFTY29-12-2026PE12000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,30-Dec-2025,13000,PE,1.55,0.40000000000000013,34.782608695652186,390.6666666666667,1,14,79.47,225,1.15,1.55,750,OPTIDXNIFTY30-12-2025PE13000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,30-Jun-2026,13000,PE,21.6,0,0,2.6666666666666665,0,0,0,750,1.55,0,0,OPTIDXNIFTY30-06-2026PE13000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,29-Dec-2026,13000,PE,1.1,0,0,33,0,0,0,750,3.05,0,0,OPTIDXNIFTY29-12-2026PE13000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,30-Jun-2026,14000,PE,19.9,0,0,20.333333333333332,0,0,0,750,2.05,20,300,OPTIDXNIFTY30-06-2026PE14000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,29-Dec-2026,14000,PE,20.05,0,0,31.666666666666668,0,0,0,750,5.55,39.9,225,OPTIDXNIFTY29-12-2026PE14000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,30-Dec-2025,15000,PE,1.65,-0.7000000000000002,-29.787234042553195,237.33333333333334,34,34,64.64,1050,1.65,2,450,OPTIDXNIFTY30-12-2025PE15000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,30-Jun-2026,15000,PE,18,0,0,18,0,0,0,600,3.3,19.9,300,OPTIDXNIFTY30-06-2026PE15000.00
NIFTY,index,NIFTY,26202.95,28-Nov-2025 15:30:00,29-Dec-2026,15000,PE,20.05,0,0,20.666666666666668,0,0,0,750,5.05,39.9,225,OPTIDXNIFTY29-12-2026PE15000.00
